b_value,count
361,7033
356,2420
360,927
492,479
428,408
362,348
422,256
401,243
18,226
80,179
327,156
353,135
369,132
62,113
476,112
4,111
63,87
421,84
132,78
220,71
33,65
319,63
54,57
32,49
466,47
158,46
425,43
426,39
88,36
410,32
106,29
89,28
427,26
31,25
363,25
121,24
93,22
328,20
197,20
64,20
3,18
35,17
86,17
2,16
446,14
405,13
40,13
439,11
133,10
434,9
322,9
120,9
117,9
297,9
85,8
105,8
142,8
148,8
134,7
103,7
262,7
429,7
9,6
30,6
190,6
244,5
7,5
171,5
241,4
354,4
248,4
480,4
50,4
72,3
131,3
346,3
323,3
202,3
204,3
415,2
165,2
176,2
247,2
114,2
243,2
253,2
111,2
152,2
162,2
467,2
1,2
92,2
87,1
43,1
47,1
154,1
0,1
294,1
418,1
359,1
169,1
326,1
370,1
